inscricao;deferimento;renda_mensal
97037;1;413.5
97039;1;636.0
97040;1;700.0
97042;1;1419.71
97043;1;477.0
97045;1;743.95
97050;1;657.5
97055;1;150.0
97056;1;532.505
97057;1;845.6666666666666
97058;1;477.0
97060;1;1055.6
97063;1;500.0
97064;1;318.0
97065;1;740.88
97069;1;474.6666666666667
97071;1;268.3225
97078;1;528.445
97081;1;570.0
97082;1;516.2574999999999
97084;1;684.0
97086;0;500.0
97089;1;545.72
97091;1;416.6666666666667
97092;1;533.3333333333334
97094;1;965.0
97095;0;400.5
97100;0;736.0
97104;1;954.0
97106;0;346.0
97107;1;951.3733333333333
97108;1;240.0
97109;1;818.0
97110;1;750.0
97111;1;439.5
97112;0;250.0
97113;1;375.0
97114;0;1344.775
97115;1;918.5
97116;1;509.3
97117;1;245.0
97119;1;1200.0
97120;1;755.0
97121;1;700.0
97123;1;425.3333333333333
97124;0;456.6066666666666
97125;0;404.1066666666666
97131;1;200.0
97132;1;667.6666666666666
97134;1;475.0
97135;1;789.4200000000001
97136;1;333.3333333333333
97137;1;937.3366666666667
97142;1;798.57
97144;0;337.5075
97145;1;400.0
97146;1;678.175
97147;1;537.5
97149;1;0.0
97150;1;510.57
97151;1;224.4
97152;1;238.5
97154;1;477.0
97155;1;537.0799999999999
97156;1;325.0
97158;1;789.06
97159;1;53.333333333333336
97161;1;285.6666666666667
97162;1;400.0
97165;1;1000.0
97166;1;494.10249999999996
97170;1;495.8333333333333
97172;1;116.66666666666667
97173;1;855.5975000000001
97174;1;816.0
97175;1;604.32
